Gene	Accession No.	Species
cad	HQ995836	Neofidelia profuga
cad	EU122078	Nomada fucata
cad	DQ067155	Nomia tetrazonata
cad	HQ995861	Notanthidium steloides
cad	EU851484	Noteriades sp. CJP-2008
cad	HQ995900	Noteriades sp. CJP-2011
cad	HQ995909	Ochreriades fasciatus
cad	EU851495	Osmia anceps
cad	EU851490	Osmia andrenoides
cad	EU851500	Osmia apicata
cad	EU851492	Osmia aurulenta
cad	EU851502	Osmia bicolor
cad	EU851499	Osmia brevicornis
cad	EU851493	Osmia coloradensis
cad	EU851504	Osmia cornuta
cad	EU851496	Osmia difficilis
cad	EU851506	Osmia ferruginea
cad	EU851507	Osmia gallarum
cad	EU851491	Osmia glauca
cad	EU851486	Osmia integra
cad	EU851497	Osmia juxta
cad	EU851510	Osmia latisulcata
cad	HQ995910	Osmia lignaria
cad	EU851489	Osmia montana
cad	EU851501	Osmia nemoris
cad	EU851494	Osmia niveata
cad	EU851508	Osmia rhodoensis
cad	EU851487	Osmia rufohirta
cad	EU851488	Osmia sybarita
cad	EU851509	Osmia tergestensis
cad	EU851503	Osmia tingitana
cad	EU851498	Osmia xanthomelana
cad	EU851512	Othinosmia aff. securicornis CJP-2008
cad	HQ995911	Othinosmia globicola
cad	HQ995912	Othinosmia securicornis
cad	DQ067118	Oxybelus abdominalis
cad	HQ995862	Pachyanthidium benguelense
cad	DQ067135	Panurgus calcaratus
cad	HQ995846	Paradioxys pannonica
cad	DQ067188	Paranomada velutina
cad	HQ995863	Paranthidium jugatorium
cad	HQ995823	Pararhophites orobinus
cad	HQ995824	Pararhophites quadratus
cad	DQ067149	Patellapis (Zonalictus) sp. BND-2006
cad	DQ067124	Philanthus gibbosus
cad	DQ067119	Plenoculus nr. parvus BND-2010
cad	DQ067137	Protandrena verbesinae
cad	HQ995913	Protosmia humeralis
cad	EU851513	Protosmia longiceps
cad	EU851515	Protosmia minutula
cad	EU851514	Protosmia rubifloris
cad	DQ067128	Protoxaea gloriosa
cad	DQ067156	Pseudapis obesula
cad	HQ995864	Pseudoanthidium scapulare
cad	HQ995914	Pseudoheriades moricei
cad	DQ067138	Pseudopanurgus fraterculus
cad	HQ995901	Radoszkowskiana rufiventris
cad	DQ067175	Rediviva mcgregori
cad	HQ995865	Rhodanthidium septemdentatum
cad	DQ067158	Rophites algirus
cad	GU945211	Samba atra
cad	GU945212	Samba fasciata
cad	DQ067164	Samba griseonigra
cad	GU945213	Samba ogilviei
cad	GU945214	Samba spinosa
cad	DQ067125	Sceliphron caementarium
cad	DQ067145	Scrapter heterodoxus
cad	HQ995866	Serapista rufipes
cad	DQ067147	Sphecodes pecosensis
cad	DQ067148	Sphecodes sp. Spsp1055
cad	EU851421	Stelis punctulatissima
cad	HQ995867	Stelis sp. 'paiute'
cad	HQ995915	Stenoheriades asiaticus
cad	EU851519	Stenosmia aff. aravensis CJP-2008
cad	EU851520	Stenosmia minima
cad	DQ067176	Stenotritus sp. BND-2004
cad	DQ067121	Stigmus fulvipes
cad	DQ067160	Systropha glabriventris
cad	DQ067120	Tachysphex yolo
cad	DQ067183	Tetralonia cinctula
cad	DQ067184	Thyreus delumbatus
cad	EU851422	Trachusa byssina
cad	HQ995868	Trachusa larreae
cad	HQ995869	Trachusa pubescens
cad	HQ995843	Trichothurgus herbsti
cad	DQ067189	Triepeolus robustus
cad	HQ995916	Wainia eremoplana
cad	DQ067143	Xanthesma furcifera
cad	EU122079	Xylocopa violacea
cad	DQ067186	Zacosmia maculata
camkii	EU184799	 Anthophora plumipes
camkii	EU184795	 Apis cerana
camkii	EU184794	 Apis dorsata
camkii	EU184793	 Apis florea
camkii	NM001134950	 Apis mellifera
camkii	EU184789	 Bombus ardens
camkii	EU184790	 Bombus diversus
camkii	EU184796	 Centris cockerelli
camkii	EU184791	 Cephalotrigona capitata
camkii	EU184797	 Epiclopus gayi
camkii	EU184788	 Eufriesea pulchra
camkii	EU184787	 Exaerete frontalis
camkii	EU184792	 Meliponula bocandei
camkii	EU184798	 Thyreus takaonis
dnk	EU184784	Apis dorsata
dnk	XM625216	Apis mellifera
dnk	EU184779	Bombus ardens
dnk	EU184780	Bombus diversus
dnk	XM003395329	Bombus terrestris
dnk	EU184782	Cephalotrigona capitata
dnk	EU980053	Hypotrigona ruspolii
dnk	EU980054	Lepidotrigona ventralis
dnk	EU980055	Lisotrigona furva
dnk	EU980056	Melipona grandis
dnk	EU184783	Meliponula bocandei
dnk	EU980057	Odontotrigona haematoptera
dnk	EU980058	Plebeia sp. A CR-2009
dnk	EU980062	Tetragonula fuscobalteata
dnk	EU980059	Tetrigona binghami
dnk	EU980061	Trigona amazonensis
dnk	EU184781	Trigona fuscipennis
dnk	EU980060	Trigonisca sp. A CR-2009
ecrb1	AB490055	 Ammophila infesta
ecrb1	NM001159355	 Apis mellifera
ecrb1	AB490051	 Bombus hypocrita
ecrb1	XM003401618	 Bombus terrestris
ecrb1	AB490054	 Coelioxys fenestrata
ecrb1	AB490053	 Osmia cornifrons
ecrb1	AB490052	 Xylocopa appendiculata
ef1af1	AY363015	Agapostemon kohliellus
ef1af1	JF806338	Agapostemon tyleri
ef1af1	DQ149694	Allodape friesei
ef1af1	AJ416773	Allodape mucronata
ef1af1	AJ416774	Allodape skaifeorum
ef1af1	AY247264	Allodapula acutigera
ef1af1	DQ149695	Allodapula empeyi
ef1af1	JF806339	Alocandrena porterae
ef1af1	AY363037	Anacrabro ocellatus
ef1af1	AY362984	Andrena n. sp. Ansp643
ef1af1	AY362985	Andrena nasonii
ef1af1	AY363025	Anthidium oblongatum
ef1af1	NM001011628	Apis mellifera
ef1af1	JF806341	Augochlorella pomoniella
ef1af1	AY363036	Bicyrtes ventralis
ef1af1	XM003399641	Bombus terrestris
ef1af1	AJ416777	Braunsapis albipennis
ef1af1	AJ416778	Braunsapis bouyssoui
ef1af1	AJ416780	Braunsapis otavica
ef1af1	AJ416779	Braunsapis paradoxa
ef1af1	AJ416775	Braunsapis protuberans
ef1af1	AJ416782	Braunsapis sp. NJB-2001
ef1af1	AJ416776	Braunsapis unicolor
ef1af1	AJ416781	Braunsapis vitrea
ef1af1	AJ416772	Brevineura elongata
ef1af1	AJ416770	Brevineura froggatti
ef1af1	AJ416769	Brevineura ploratula
ef1af1	AY005276	Brevineura rufitarsis
ef1af1	AJ416771	Brevineura xanthoclypeata
ef1af1	AY362988	Calliopsis anthidia
ef1af1	JF806342	Calliopsis pugionis
ef1af1	AY362989	Calliopsis subalpina
ef1af1	AY362999	Callomelitta antipodes
ef1af1	AY250208	Ceratina boninensis
ef1af1	AY362998	Ceratina calcarata
ef1af1	AY250209	Ceratina dentipes
ef1af1	AY250210	Ceratina flavipes
ef1af1	AY250211	Ceratina iwatai
ef1af1	AY250212	Ceratina japonica
ef1af1	AY250213	Ceratina megastigmata
ef1af1	AY250214	Ceratina okinawana okinawana
ef1af1	AY250215	Ceratina okinawana sakinshimensis
ef1af1	AY250217	Ceratina satoi
ef1af1	AY250216	Ceratina sp. ALC-2003
ef1af1	AJ416848	Ceratina sp. NJB-2001
ef1af1	EF013245	Chalybion californicum
ef1af1	AY363028	Chelostoma fuliginosum
ef1af1	AY363013	Chilimelissa rozeni
ef1af1	AY363001	Colletes consors
ef1af1	AY363003	Colletes dimidiatus
ef1af1	AY363004	Colletes inaequalis
ef1af1	AJ416784	Compsomelissa borneri
ef1af1	JF806345	Conanthalictus wilmattae
ef1af1	AY362994	Ctenoplectra albolimbata
ef1af1	AY363029	Dasypoda argentata
ef1af1	JF806350	Dieunomia nevadensis
ef1af1	AY363020	Dufourea malacothricis
ef1af1	AY363021	Dufourea mulleri
ef1af1	AY362986	Euherbstia excellens
ef1af1	AY363008	Euryglossa ephippiata
ef1af1	AY363009	Euryglossina pseudoatomaria
ef1af1	AJ416759	Exoneura angophorae
ef1af1	AJ416762	Exoneura nigrescens
ef1af1	AJ416761	Exoneura nigrihirta
ef1af1	AJ416760	Exoneura robusta
ef1af1	DQ149696	Exoneurella eremophila
ef1af1	AJ416767	Exoneurella eremophilia
ef1af1	AJ416765	Exoneurella lawsoni
ef1af1	AJ416768	Exoneurella setosa
ef1af1	AJ416766	Exoneurella tridentata
ef1af1	DQ149698	Exoneuridia hakkariensis
ef1af1	AY363024	Fideliopsis major
ef1af1	JF806346	Halictus rubicundus
ef1af1	AJ416785	Halterapis nigrinervis
ef1af1	AY363030	Hesperapis larreae
ef1af1	AY363031	Hesperapis regularis
ef1af1	JF806347	Holcopasites ruthae
ef1af1	AY363011	Hylaeus honestus
ef1af1	AY363012	Hylaeus modestus
ef1af1	AJ416763	Inquilina dawsoni
ef1af1	DQ149697	Inquilina excavata
ef1af1	AJ416764	Inquilina schwarzi
ef1af1	AY362996	Leiopodus singularis
ef1af1	AY363026	Lithurgus echinocacti
ef1af1	AJ416783	Macrogalea candida
ef1af1	AY245174	Macrogalea magenge
ef1af1	DQ149699	Macrogalea zanzibarica
ef1af1	AY363033	Macropis europaea
ef1af1	AY362990	Macrotera latior
ef1af1	HM461885	Manuelia gayatina
ef1af1	HM461884	Manuelia gayi
ef1af1	HM461886	Manuelia postica
ef1af1	AY363027	Megachile pugnata
ef1af1	AY363014	Megalopta genalis
ef1af1	AY362995	Melissodes sp. Mesp229
ef1af1	AY363034	Melitta eickworti
ef1af1	JF806349	Melitta leporina
ef1af1	JF806348	Melitturga clavicornis
ef1af1	DQ149693	Neoceratina sp. SMT-2005
ef1af1	AY363017	Nomia triangulifera
ef1af1	AY363019	Nomioides facilis
ef1af1	JF806351	Oxybelus sp. SGB-2011
ef1af1	JF806352	Panurgus calcaratus
ef1af1	AY363005	Paracolletes sp. 19Para
ef1af1	JF806354	Paranomada velutina
ef1af1	JF806353	Penapis penai
ef1af1	AY362991	Protandrena mexicanorum
ef1af1	AY363022	Protodufourea parca
ef1af1	AY362987	Protoxaea gloriosa
ef1af1	AY363018	Pseudapis unidentata
ef1af1	JF806355	Rediviva mcgregori
ef1af1	JF806356	Redivivoides simulans
ef1af1	AY363023	Rophites algirus
ef1af1	AY363032	Samba griseonigra
ef1af1	AY363042	Sceliphron caementarium
ef1af1	JF806357	Scrapter ruficornis
ef1af1	AY363016	Sphecodes minor
ef1af1	AY363035	Stenotritus sp. BND-2004
ef1af1	JF806358	Stenotritus sp. SGB-2011
ef1af1	AY363038	Stigmus fulvipes
ef1af1	JF806360	Stizoides sp. SGB-2011
ef1af1	JF806359	Systropha curvicornis
ef1af1	AY362997	Triepeolus rozeni
ef1af1	AY363010	Xanthesma furcifera
ef1af1	JF806361	Xeralictus bicuspidariae
ef1af1	AY005296	Xylocopa acutipennis
ef1af1	EU180119	Xylocopa aeratus
ef1af1	EU180117	Xylocopa albifrons
ef1af1	EU445979	Xylocopa albinotum
ef1af1	EU445977	Xylocopa amamensis
ef1af1	EU445976	Xylocopa appendiculata circumvolans
ef1af1	AY005288	Xylocopa aruana
ef1af1	AY005279	Xylocopa auripennis auripennis
ef1af1	AY005281	Xylocopa bombylans
ef1af1	EU445987	Xylocopa caerulea
ef1af1	EU180112	Xylocopa caffra
ef1af1	EU445989	Xylocopa collaris
ef1af1	EU445985	Xylocopa confusa
ef1af1	EU180109	Xylocopa dimidiata
ef1af1	AY005283	Xylocopa erythrina
ef1af1	EU180111	Xylocopa flavicollis
ef1af1	EU445978	Xylocopa flavifrons
ef1af1	AY005293	Xylocopa flavorufa
ef1af1	AY005302	Xylocopa frontalis
ef1af1	AY005300	Xylocopa gualanensis
ef1af1	EU180113	Xylocopa inconstans
ef1af1	AY005286	Xylocopa iris
ef1af1	AY005295	Xylocopa latipes
ef1af1	AY005289	Xylocopa lieftincki
ef1af1	EU180118	Xylocopa lugubris
ef1af1	AY005277	Xylocopa micans
ef1af1	AY005298	Xylocopa micheneri micheneri
ef1af1	AY005292	Xylocopa nigrita
ef1af1	EU180108	Xylocopa nobilis tricolor
ef1af1	EU445983	Xylocopa ogasawarensis
ef1af1	AY005294	Xylocopa olivieri
ef1af1	EU180116	Xylocopa provida
ef1af1	AY005290	Xylocopa pubescens
ef1af1	AY005291	Xylocopa scioensis
ef1af1	AY005284	Xylocopa sicheli
ef1af1	EU180114	Xylocopa smithii
ef1af1	EU180110	Xylocopa sp. India
ef1af1	EU445984	Xylocopa sp. KWZ10
ef1af1	EU445980	Xylocopa sp. KWZ5
ef1af1	AY005287	Xylocopa sulcatipes
ef1af1	AY005282	Xylocopa tabaniformis tabaniformis
ef1af1	AY005278	Xylocopa tranquebarica
ef1af1	EU445981	Xylocopa tranquebarorum
ef1af1	AY005301	Xylocopa truxali
ef1af1	AY005299	Xylocopa varipuncta
ef1af1	AY005280	Xylocopa violacea
ef1af1	AY005285	Xylocopa virginica virginica
ef1af1	EU180115	Xylocopa watmoughi
ef1af1	JF806337	Zacosmia maculata
ef1af2	NM001014993	 Apis mellifera
ef1af2	XM003401944	 Bombus terrestris
ef1af2	EF601193	Acamptopoeum submetallicum
ef1af2	HQ995698	Afranthidium karooense
ef1af2	EU851532	Afroheriades primus
ef1af2	EU851533	Afroheriades sp. CJP-2008
ef1af2	AF140318	Agapostemon kohliellus
ef1af2	AF435371	Agapostemon leunculus
ef1af2	AF140319	Agapostemon sericeus
ef1af2	AF140320	Agapostemon tyleri
ef1af2	AF140321	Agapostemon virescens
ef1af2	EU851524	Aglaoapis tridentata
ef1af2	DQ149701	Allodape friesei
ef1af2	HQ270146	Allodapula dichroa
ef1af2	DQ149704	Allodapula empeyi
ef1af2	AY585099	Alocandrena porterae
ef1af2	GU245011	Ammobates punctatus
ef1af2	GU245010	Ammobates sp. JS-2010
ef1af2	GU244965	Ammobatoides luctuosus
ef1af2	EU367211	Ammophila sp. 1 EMP-2008
ef1af2	DQ884687	Amphylaeus obscuriceps
ef1af2	GQ410718	Ampulex compressa
ef1af2	AY585160	Anacrabro ocellatus
ef1af2	GU244912	Ancyla asiatica
ef1af2	GU244913	Ancyla holtzi anatolica
ef1af2	EF601191	Ancylandrena atoposoma
ef1af2	EF601178	Ancylandrena larreae
ef1af2	AF504484	Andrena aff. manifesta LLL-2002
ef1af2	AF504485	Andrena aff. rava LLL-2002
ef1af2	AF504486	Andrena aff. rubens LLL-2002
ef1af2	AF504426	Andrena afimbriata
ef1af2	EF599166	Andrena albopunctata
ef1af2	AF504427	Andrena aliciae
ef1af2	AF504428	Andrena aliciarum
ef1af2	AF504494	Andrena anatolis
ef1af2	AF504508	Andrena andrenoides
ef1af2	AF504429	Andrena ardis
ef1af2	AF504509	Andrena arenicola
ef1af2	EF601194	Andrena asteris
ef1af2	AF504431	Andrena auripes
ef1af2	AF504497	Andrena avulsa
ef1af2	EF601190	Andrena banksi
ef1af2	AF504432	Andrena barberi
ef1af2	AF504433	Andrena beameri
ef1af2	EF593373	Andrena benefica
ef1af2	AF504434	Andrena biscutellata
ef1af2	AF504435	Andrena braccata
ef1af2	EF601189	Andrena bradleyi
ef1af2	AF504480	Andrena brooksi
ef1af2	AF504436	Andrena bullata
ef1af2	AF504438	Andrena calvata
ef1af2	AF504502	Andrena carlini
ef1af2	AF504481	Andrena chaparralensis
ef1af2	EF599167	Andrena cineraria
ef1af2	AF504492	Andrena citrinihirta
ef1af2	EF601188	Andrena crataegi
ef1af2	AF504439	Andrena crawfordi
ef1af2	AF504499	Andrena cressonii
ef1af2	AF504514	Andrena dapsilis
ef1af2	AF504440	Andrena discreta
ef1af2	EF601187	Andrena distans
ef1af2	AF504503	Andrena dolomellea
ef1af2	EF601186	Andrena dunningi
ef1af2	AF504511	Andrena erigeniae
ef1af2	EF601185	Andrena erythrogaster
ef1af2	EF593374	Andrena ezoensis
ef1af2	AF504501	Andrena faceta
ef1af2	AF504518	Andrena flaminea
ef1af2	EF593375	Andrena foveopunctata
ef1af2	EF601184	Andrena fragilis
ef1af2	EF593376	Andrena fukuokensis
ef1af2	AF504441	Andrena fulvipennis
ef1af2	AF504442	Andrena fumosa
ef1af2	AF504443	Andrena gardineri
ef1af2	EF601183	Andrena geranii
ef1af2	EF593377	Andrena haemorrhoa japonibia
ef1af2	EF593378	Andrena halictoides
ef1af2	EF593379	Andrena hanedai
ef1af2	AF504444	Andrena haynesi
ef1af2	EF601182	Andrena helianthi
ef1af2	AF504447	Andrena helianthiformis
ef1af2	EF593380	Andrena hikosana
ef1af2	EF601180	Andrena hirticincta
ef1af2	AF504448	Andrena humeralis
ef1af2	AF504506	Andrena illinoiensis
ef1af2	EF601179	Andrena imitatrix
ef1af2	AF504449	Andrena inculta
ef1af2	AF504450	Andrena isocomae
ef1af2	EF593381	Andrena japonica
ef1af2	EF593382	Andrena knuthi
ef1af2	AF504452	Andrena krigiana
ef1af2	EF601177	Andrena lauta
ef1af2	AF504453	Andrena levigata
ef1af2	AF504454	Andrena limatula
ef1af2	AF504507	Andrena linsleyi
ef1af2	EF593383	Andrena luridiloma
ef1af2	AF504488	Andrena macoupinensis
ef1af2	AF504510	Andrena mellea
ef1af2	AF504455	Andrena melliventris
ef1af2	AF504457	Andrena micheneriana
ef1af2	EF593384	Andrena mikado
ef1af2	AF504521	Andrena miranda
ef1af2	EF601176	Andrena miserabilis
ef1af2	EF593386	Andrena mitakensis
ef1af2	AF504458	Andrena monticola
ef1af2	AF504487	Andrena n. sp. 'goth'
ef1af2	AF504513	Andrena n. sp. LLL-2002c
ef1af2	AF504517	Andrena n. sp. LLL-2002d
ef1af2	AF504519	Andrena nasonii
ef1af2	AF504482	Andrena neffi
ef1af2	AF504498	Andrena nigrifrons
ef1af2	EF593387	Andrena nitidiuscula
ef1af2	AF504504	Andrena nivalis
ef1af2	EF601175	Andrena nubecula
ef1af2	AF504459	Andrena ofella
ef1af2	EF593388	Andrena okinawana
ef1af2	EF601174	Andrena olivacea
ef1af2	EF593389	Andrena omogensis
ef1af2	AF504462	Andrena pecosana
ef1af2	AF504522	Andrena perplexa
ef1af2	AF504463	Andrena perpunctata
ef1af2	EF601173	Andrena persimulata
ef1af2	AF504464	Andrena placata
ef1af2	AF504490	Andrena plebeia
ef1af2	AF504515	Andrena primulifrons
ef1af2	EF593390	Andrena prostomias
ef1af2	EF601181	Andrena pulverea
ef1af2	AF504465	Andrena reflexa
ef1af2	EF593391	Andrena richardsi
ef1af2	AF504466	Andrena rubens
ef1af2	AF504467	Andrena rudbeckiae
ef1af2	EF601172	Andrena rugosa
ef1af2	AF504491	Andrena sagittagalea
ef1af2	EF593392	Andrena sakagamii
ef1af2	EF593393	Andrena sasakii
ef1af2	EF593394	Andrena semirugosa brassicae
ef1af2	AF504468	Andrena senticulosa
ef1af2	AF504469	Andrena simplex
ef1af2	AF504472	Andrena simulata
ef1af2	AF504473	Andrena sitiliae
ef1af2	EF601171	Andrena solenopalpa
ef1af2	AY230129	Andrena sp. Ansp643
ef1af2	AF504493	Andrena sp. LLL-2002a
ef1af2	AF504495	Andrena sp. LLL-2002b
ef1af2	EF593395	Andrena subopaca
ef1af2	EF593396	Andrena takachihoi
ef1af2	AF504474	Andrena tegularis
ef1af2	EF593397	Andrena togashii
ef1af2	AF504475	Andrena tonkaworum
ef1af2	AF504516	Andrena trapezoidea
ef1af2	EF593398	Andrena tsukubana
ef1af2	AF504476	Andrena utahensis
ef1af2	EF593399	Andrena valeriana
ef1af2	AF504478	Andrena verecunda
ef1af2	AF504512	Andrena 'viciae'
ef1af2	EF601170	Andrena vicina
ef1af2	AF504483	Andrena vogleri
ef1af2	AF504479	Andrena vulpicolor
ef1af2	EF601169	Andrena wilkella
ef1af2	EF593400	Andrena yamato
ef1af2	DQ884624	Andrenopsis sp. EABA-2006
ef1af2	GU244995	Anthidiellum notatum
ef1af2	HQ995699	Anthidium illustre
ef1af2	AY585145	Anthidium oblongatum
ef1af2	GU244996	Anthidium porterae
ef1af2	EU851525	Anthidium punctatum
ef1af2	HQ995700	Anthodioctes mapirensis
ef1af2	GU244948	Anthophorula completa
ef1af2	GU244949	Anthophorula sp. 1 JS-2010
ef1af2	GU244950	Anthophorula sp. 2 JS-2010
ef1af2	AF504525	Anthrenoides sp. LLL-2002
ef1af2	FJ042288	Aparatrigona impunctata
ef1af2	EU814525	Apidae sp. MorondavaA
ef1af2	EU814527	Apidae sp. MorondavaB
ef1af2	EU814529	Apidae sp. Ramena
ef1af2	EU163210	Apis andreniformis
ef1af2	EU163208	Apis cerana
ef1af2	EU163191	Apis dorsata
ef1af2	EU163209	Apis florea
ef1af2	EU163193	Apis koschevnikovi
ef1af2	AY208279	Apis nigrocincta
ef1af2	DQ813104	Apotrigona infuscata
ef1af2	GU244978	Arhysoceble sp. JS-2010
ef1af2	EF599169	Arhysosage ochracea
ef1af2	EU851536	Ashmeadiella aff. gillettei CJP-2008
ef1af2	EU851535	Ashmeadiella aridula
ef1af2	EU851537	Ashmeadiella holtii
ef1af2	EU851534	Ashmeadiella timberlakei
ef1af2	EU851538	Ashmeadiella xenomastax
ef1af2	HQ995701	Aspidosmia arnoldi
ef1af2	HQ995702	Aspidosmia volkmanni
ef1af2	EU851542	Atoposmia aff. daleae CJP-2008
ef1af2	EU851544	Atoposmia copelandica
ef1af2	EU851539	Atoposmia elongata
ef1af2	EU851540	Atoposmia hebitis
ef1af2	EU851541	Atoposmia mirifica
ef1af2	EU851543	Atoposmia timberlakei
ef1af2	AF140314	Augochlora pura
ef1af2	AF435373	Augochlorella pomoniella
ef1af2	AF140315	Augochloropsis metallica
ef1af2	EF601168	Austropanurgus punctatus
ef1af2	DQ813105	Austroplebeia symei
ef1af2	DQ813109	Axestotrigona ferruginea
ef1af2	DQ884617	Baeocolletes minimus
ef1af2	DQ884609	Baeocolletes sp. EABA-2006
ef1af2	HQ995703	Bathanthidium binghami
ef1af2	DQ884593	Belopria nitidior
ef1af2	AY585168	Bembix americana
ef1af2	EU367212	Bembix amoena
ef1af2	AY585165	Bembix dentilabris
ef1af2	HQ995704	Benanthis madagascariensis
ef1af2	GU244981	Biastes truncatus
ef1af2	AY585161	Bicyrtes ventralis
ef1af2	DQ788144	Bombus affinis
ef1af2	DQ788145	Bombus alagesianus
ef1af2	EF032360	Bombus alboanalis
ef1af2	DQ788146	Bombus alpinus
ef1af2	DQ788147	Bombus apollineus
ef1af2	DQ788148	Bombus appositus
ef1af2	AF492964	Bombus ardens
ef1af2	DQ788150	Bombus argillaceus
ef1af2	DQ788151	Bombus armeniacus
ef1af2	AF492924	Bombus ashtoni
ef1af2	EF032369	Bombus asiaticus
ef1af2	DQ788152	Bombus atratus
ef1af2	DQ788153	Bombus atripes
ef1af2	DQ788154	Bombus auricomus
ef1af2	EF032365	Bombus avanus
ef1af2	DQ788155	Bombus avinoviellus
ef1af2	DQ788156	Bombus baeri
ef1af2	DQ788157	Bombus balteatus
ef1af2	DQ788158	Bombus barbutellus
ef1af2	AF492963	Bombus beaticola
ef1af2	DQ788159	Bombus bellicosus
ef1af2	AF492971	Bombus bicoloratus
ef1af2	AF492943	Bombus bifarius
ef1af2	DQ788161	Bombus bimaculatus
ef1af2	DQ788162	Bombus biroi
ef1af2	AF492925	Bombus bohemicus
ef1af2	AF492976	Bombus borealis
ef1af2	DQ788163	Bombus brachycephalus
ef1af2	DQ788164	Bombus brasiliensis
ef1af2	DQ788165	Bombus breviceps
ef1af2	DQ788166	Bombus brodmannicus
ef1af2	DQ788167	Bombus californicus
ef1af2	AF492968	Bombus caliginosus
ef1af2	AF492927	Bombus campestris
ef1af2	DQ788169	Bombus centralis
ef1af2	DQ788170	Bombus chinensis
ef1af2	AF492948	Bombus cingulatus
ef1af2	AY267137	Bombus citrinus
ef1af2	DQ788172	Bombus coccineus
ef1af2	DQ788173	Bombus confusus
ef1af2	AY267134	Bombus consobrinus
ef1af2	DQ788174	Bombus convexus
ef1af2	EF032377	Bombus cornutus
ef1af2	AF492973	Bombus crotchii
ef1af2	DQ788175	Bombus cryptarum
ef1af2	AF492931	Bombus dahlbomii
ef1af2	AF492958	Bombus defector
ef1af2	AY267138	Bombus deuteronymus
ef1af2	DQ788177	Bombus difficillimus
ef1af2	DQ788178	Bombus digressus
ef1af2	DQ788179	Bombus diligens
ef1af2	DQ788180	Bombus distinguendus
ef1af2	AF492961	Bombus diversus
ef1af2	DQ788181	Bombus ecuadorius
ef1af2	DQ788182	Bombus ephippiatus
ef1af2	DQ788183	Bombus erzurumensis
ef1af2	DQ788184	Bombus excellens
ef1af2	DQ788185	Bombus exil
ef1af2	DQ788186	Bombus eximius
ef1af2	AF492926	Bombus fernaldae
ef1af2	AF492930	Bombus fervidus
ef1af2	DQ788187	Bombus festivus
ef1af2	DQ788188	Bombus filchnerae
ef1af2	AF492950	Bombus flavescens
ef1af2	DQ788189	Bombus flavidus
ef1af2	DQ788190	Bombus flavifrons
ef1af2	AF492939	Bombus formosellus
ef1af2	DQ788191	Bombus fragrans
ef1af2	EF032366	Bombus franklini
ef1af2	AF492974	Bombus fraternus
ef1af2	DQ788192	Bombus frigidus
ef1af2	DQ788193	Bombus friseanus
ef1af2	DQ788194	Bombus funebris
ef1af2	EF032378	Bombus funerarius
